data_ZnMgTm

loop_ 
 _refln_index_h1 
 _refln_index_h2 
 _refln_index_h3
 _refln_index_h4 
 _refln_index_h5
 _refln_index_h6  
 _refln_F_obs 
 _refln_F_calc
 _refln_dExt

1	-2	1	-2	0	0	0.1061	0.1105	0.9999
-2	-1	2	0	-2	-1	0.1043	0.1085	0.9848
0	-2	0	2	1	2	0.1039	0.1031	0.9912
1	-1	1	-1	-1	3	0.1037	0.0994	0.9959
2	0	0	1	-2	-2	0.1034	0.1019	0.9936
1	0	1	0	-1	2	0.1030	0.1035	0.9965
0	0	0	-1	1	-1	0.0994	0.1629	0.9996
1	0	1	-2	0	-1	0.0983	0.1041	0.9986
0	1	0	1	-2	-1	0.0983	0.1008	0.9957
1	-1	-1	0	2	-1	0.0958	0.0929	0.9955
-2	-2	-1	-1	0	2	0.0939	0.0961	0.9903
0	3	1	-2	0	0	0.0930	0.0960	0.9893
1	1	0	2	-2	-2	0.0925	0.0894	0.9934
-2	4	0	0	2	0	0.0922	0.0886	0.9974
-2	0	3	-1	2	2	0.0886	0.0779	0.9995
-2	-1	-2	0	-1	2	0.0883	0.0856	0.9932
-3	1	-1	4	-1	1	0.0873	0.0813	0.9986
-3	1	1	1	-1	1	0.0868	0.0863	0.9977
1	-3	2	0	0	2	0.0868	0.0821	0.9984
-1	0	0	1	-1	2	0.0867	0.0687	0.9998
-1	1	-2	0	-1	-1	0.0858	0.0878	0.9975
2	1	-3	1	-1	-2	0.0845	0.0428	1.0000
2	2	2	0	1	-1	0.0843	0.0852	0.9916
1	0	0	-3	0	2	0.0841	0.0850	0.9925
1	2	-5	1	-1	-1	0.0828	0.0851	0.9976
1	-6	1	-1	-1	1	0.0827	0.0819	0.9946
0	1	-1	-1	1	1	0.0822	0.0796	0.9971
-2	2	-2	1	0	0	0.0821	0.0879	0.9984
1	-1	-2	1	0	1	0.0816	0.0826	0.9971
1	1	-1	-1	-2	0	0.0815	0.0849	0.9969
1	1	-1	-1	0	-2	0.0812	0.0892	0.9997
0	3	-2	2	0	-2	0.0793	0.0647	0.9997
2	2	0	-1	0	-2	0.0784	0.0782	0.9975
2	-1	-1	1	-4	2	0.0782	0.0803	0.9990
3	-1	-1	0	-1	1	0.0776	0.0777	0.9981
1	0	2	-2	-1	2	0.0768	0.0768	0.9958
3	0	-1	1	-1	1	0.0765	0.0733	0.9973
3	-1	0	0	0	2	0.0762	0.0727	0.9957
0	1	-3	1	0	-1	0.0758	0.0808	0.9990
2	-1	2	0	1	2	0.0756	0.0747	0.9954
2	-1	-2	2	0	-1	0.0754	0.0725	0.9968
0	-4	0	0	0	0	0.0746	0.0779	0.9946
-2	2	1	-2	3	-2	0.0743	0.0504	0.9998
1	0	0	-2	2	-2	0.0742	0.0674	0.9999
-2	0	1	1	-1	3	0.0731	0.0705	0.9996
2	1	-3	-1	1	-1	0.0723	0.0663	0.9981
0	-2	-2	0	-1	2	0.0723	0.0723	0.9968
1	0	2	2	-1	-1	0.0720	0.0728	0.9937
-1	2	-2	0	2	1	0.0714	0.0687	0.9966
2	0	0	-4	2	-2	0.0714	0.0722	0.9992
1	1	2	1	-2	-1	0.0707	0.0707	0.9935
2	1	0	2	1	1	0.0706	0.0711	0.9946
-2	2	-2	0	-2	2	0.0703	0.0701	0.9944
3	-2	-2	0	-1	0	0.0698	0.0518	0.9994
-1	-1	0	1	0	4	0.0682	0.0674	0.9978
2	0	-1	-3	0	-2	0.0679	0.0628	0.9994
-1	-1	-1	-1	-1	1	0.0677	0.0612	0.9983
0	-3	3	-3	0	3	0.0675	0.0655	0.9991
-2	2	-1	4	-1	1	0.0667	0.0693	0.9997
1	0	-4	1	-1	-2	0.0663	0.0632	0.9987
2	-1	0	2	1	1	0.0662	0.0687	0.9949
0	-4	1	0	0	0	0.0661	0.0648	0.9969
1	2	-1	0	-1	0	0.0656	0.0663	0.9986
0	-2	2	-1	-2	3	0.0654	0.0511	0.9996
1	0	2	2	1	1	0.0653	0.0653	0.9959
-1	-2	-1	-1	0	2	0.0648	0.0650	0.9968
-4	0	0	-1	0	0	0.0645	0.0670	0.9948
-2	0	0	0	0	3	0.0632	0.0596	0.9986
-1	1	-1	3	-1	1	0.0630	0.0181	1.0000
-1	3	0	1	2	1	0.0630	0.0595	0.9987
1	1	0	0	0	3	0.0626	0.0640	0.9961
2	-4	0	-1	-1	1	0.0623	0.0636	0.9991
-1	2	-2	1	1	-2	0.0622	0.0628	0.9997
-2	0	2	1	2	0	0.0620	0.0654	0.9991
4	-1	-1	-4	1	-2	0.0617	0.0498	0.9995
1	-1	-1	1	-5	1	0.0612	0.0613	0.9985
1	0	-2	1	1	-2	0.0609	0.0639	0.9986
1	0	1	2	1	2	0.0609	0.0617	0.9968
-3	-1	-1	1	-1	1	0.0605	0.0606	0.9974
2	-2	-1	2	0	2	0.0604	0.0599	0.9966
1	-5	1	0	-1	1	0.0596	0.0600	0.9978
-1	3	0	1	1	-2	0.0592	0.0591	0.9994
-3	0	3	0	-1	1	0.0585	0.0572	0.9980
-1	0	-1	2	-2	1	0.0583	0.0598	0.9998
-1	-1	3	-2	2	-1	0.0577	0.0474	0.9998
-1	1	-2	-1	1	2	0.0577	0.0592	0.9958
1	-3	3	-1	1	-1	0.0571	0.0546	0.9983
-1	-3	1	2	-1	1	0.0568	0.0576	0.9979
0	1	0	0	1	3	0.0567	0.0585	0.9971
-2	1	-2	3	1	-1	0.0564	0.0502	0.9987
-3	0	2	0	-1	2	0.0560	0.0554	0.9990
-2	-2	1	1	-1	-1	0.0560	0.0566	0.9966
0	-4	1	-1	0	1	0.0558	0.0543	0.9988
0	-3	0	-1	-3	3	0.0556	0.0536	0.9990
0	-1	1	3	0	-1	0.0552	0.0579	0.9960
0	2	0	2	2	-2	0.0551	0.0549	0.9986
-1	-3	1	-1	0	2	0.0549	0.0572	0.9991
2	2	-3	2	-1	0	0.0543	0.0481	0.9994
1	1	2	2	-1	1	0.0539	0.0514	0.9975
3	-1	0	1	-3	0	0.0539	0.0537	0.9989
3	1	0	1	0	1	0.0538	0.0542	0.9968
0	0	0	-2	4	-4	0.0537	0.0577	0.9987
-1	-2	0	-1	-2	2	0.0535	0.0549	0.9988
2	-2	1	1	-2	-1	0.0534	0.0508	0.9983
1	0	-1	-2	-1	2	0.0532	0.0528	0.9976
0	-1	2	-4	2	-1	0.0531	0.0452	0.9998
2	1	1	1	-1	-2	0.0530	0.0530	0.9973
-1	2	-1	2	2	0	0.0529	0.0529	0.9994
3	0	0	-1	-1	0	0.0526	0.0440	0.9993
-1	-2	1	2	-1	6	0.0524	0.0524	0.9984
3	-1	-1	0	-2	1	0.0524	0.0599	0.9993
2	0	-1	-2	-2	2	0.0515	0.0503	0.9976
2	2	-3	2	-2	-2	0.0513	0.0288	0.9999
-2	1	1	-1	4	-1	0.0508	0.0533	0.9996
-3	-1	2	0	-1	3	0.0507	0.0485	0.9995
0	0	0	-3	2	1	0.0507	0.0492	0.9983
